"male.voice" "leader" "protect" "poor"
"116" 0 2 2 3
"117" 1 1 1 1
"118" 1 4 4 4
"119" 1 1 1 1
"120" 0 5 5 5
"121" 1 1 1 1
"122" 1 5 5 5
"123" 1 5 5 5
"124" 0 1 1 1
"125" 0 1 1 1
"126" 0 1 1 1
"127" 1 1 1 1
"128" 0 3 3 3
"129" 0 1 1 2
"130" 1 5 5 5
"131" 0 5 5 5
"132" 1 3 3 2
"133" 1 1 1 1
"134" 0 5 5 5
"135" 1 1 1 1
"136" 1 5 5 5
"137" 1 3 3 3
"138" 0 1 1 1
"139" 0 3 3 3
"140" 0 1 1 1
"141" 0 2 2 4
"142" 0 1 1 1
"143" 0 1 1 1
"144" 0 1 1 2
"145" 0 3 4 4
"146" 0 5 5 5
"147" 1 5 5 5
"148" 0 2 2 2
"149" 1 1 1 1
"150" 0 3 3 4
"151" 0 2 2 3
"152" 1 2 2 1
"153" 0 1 1 1
"154" 0 3 3 4
"155" 1 1 1 1
"156" 1 5 5 4
"157" 1 4 4 4
"158" 0 1 1 1
"159" 0 4 4 5
"160" 0 2 2 2
"161" 1 3 3 3
"162" 1 1 1 1
"163" 0 1 2 2
"164" 0 1 1 1
"165" 0 1 1 1
"166" 1 1 1 1
"167" 1 1 1 1
"168" 1 1 1 1
"169" 1 1 1 1
"170" 1 4 4 4
"171" 0 4 5 5
"172" 1 1 1 1
"173" 0 1 1 1
"174" 1 1 1 1
"175" 0 1 1 1
"176" 1 5 5 5
"177" 0 1 1 1
"178" 0 1 1 1
"179" 0 2 2 3
"180" 0 5 5 5
"181" 0 4 4 4
"182" 0 5 5 5
"183" 0 5 5 5
"184" 0 1 1 1
"185" 1 2 2 1
"186" 1 4 3 3
"187" 0 5 5 5
"188" 1 4 4 2
"189" 1 2 2 1
"190" 1 5 5 5
"191" 0 5 5 5
"192" 1 4 4 3
"193" 1 4 4 4
"194" 1 3 3 2
"195" 0 2 2 3
"196" 1 1 1 1
"197" 0 2 2 2
"198" 1 1 1 1
"199" 1 1 1 1
"200" 1 5 5 4
"201" 1 4 4 4
"202" 1 5 4 4
"203" 0 1 1 1
"204" 1 2 2 1
"205" 0 1 1 2
"206" 1 1 1 1
"207" 0 1 1 1
"208" 0 1 1 1
"209" 0 5 5 5
"210" 0 1 1 1
"211" 0 2 2 2
"212" 1 2 2 1
"213" 0 1 1 1
"214" 0 1 1 1
"215" 0 2 2 3
"216" 0 1 1 2
"217" 1 4 4 4
"218" 0 1 1 1
"219" 1 3 3 3
"220" 0 1 1 1
"221" 0 3 3 4
"222" 1 5 5 5
"223" 1 5 5 5
"224" 0 1 1 1
"225" 0 5 5 5
"226" 0 2 2 3
"227" 0 2 2 3
"228" 0 1 1 1
"229" 1 1 1 1
"230" 0 5 5 5
"231" 1 3 3 3
"232" 1 1 1 1
"233" 0 1 1 1
"234" 0 1 1 1
"235" 0 2 3 5
"236" 1 1 1 1
"237" 1 5 5 4
"238" 0 5 5 5
"239" 1 1 1 1
"240" 1 1 1 1
"241" 0 2 2 3
"242" 1 2 2 1
"243" 1 1 1 1
"244" 1 5 5 5
"245" 1 3 3 2
"246" 0 1 1 1
"247" 1 5 5 5
"248" 1 5 5 5
"249" 0 3 3 4
"250" 0 1 1 1
"251" 1 1 1 1
"252" 1 4 4 4
"253" 1 1 1 1
"254" 0 5 5 5
"255" 1 1 1 1
"256" 0 3 3 3
"257" 1 2 2 1
"258" 0 5 5 5
"259" 1 1 1 1
"260" 0 1 1 2
"261" 1 1 1 1
"262" 0 4 4 4
"263" 1 2 1 1
"264" 1 5 5 5
"265" 0 1 1 1
"266" 1 5 5 4
"267" 0 1 1 1
"268" 0 2 2 2
"269" 0 4 4 5
"270" 1 2 2 2
"271" 1 1 1 1
"272" 0 2 2 2
"273" 0 2 2 3
"274" 0 3 3 5
"275" 1 2 1 1
"276" 0 2 2 3
"277" 1 1 1 1
"278" 1 2 1 1
"279" 1 1 1 1
"280" 0 1 2 2
"281" 1 5 5 5
"282" 0 1 1 1
"283" 0 1 1 1
"284" 0 2 3 4
"285" 0 4 4 4
"286" 1 1 1 1
"287" 0 3 3 4
"288" 0 5 5 5
"289" 0 1 1 2
"290" 0 3 3 3
"291" 0 1 2 2
"292" 1 3 3 2
"293" 0 2 2 2
"294" 1 5 5 5
"295" 0 1 1 1
"296" 1 5 5 5
"297" 0 1 1 1
"298" 1 1 1 1
"299" 1 3 3 3
"300" 1 3 3 3
"301" 0 3 3 4
"302" 1 2 2 2
"303" 0 1 2 2
"304" 1 5 5 5
"305" 1 5 5 5
"306" 1 4 4 4
"307" 0 1 1 1
"308" 1 3 3 2
"309" 1 1 1 1
"310" 0 1 1 1
"311" 0 4 4 4
"312" 0 1 1 1
"313" 1 5 5 5
"314" 1 4 4 2
"315" 0 1 1 1
"316" 1 3 2 1
"317" 0 1 1 1
"318" 1 1 1 1
"319" 0 5 5 5
"320" 0 5 5 5
"321" 1 2 1 1
"322" 0 1 1 1
"323" 1 1 1 1
"324" 0 5 5 5
"325" 0 4 4 5
"326" 0 1 1 2
"327" 0 5 5 5
"328" 0 3 3 3
"329" 0 3 3 3
"330" 1 1 1 1
"331" 0 4 4 5
"332" 0 2 2 3
"333" 0 2 2 2
"334" 1 2 1 1
"335" 0 1 1 1
"336" 1 1 1 1
"337" 1 1 1 1
"338" 1 2 2 2
"339" 1 4 4 3
"340" 0 2 2 2
"341" 0 3 4 4
"342" 1 1 1 1
"343" 0 5 5 5
"344" 0 1 1 2
"345" 0 5 5 5
"346" 0 2 2 3
"347" 1 5 5 5
"348" 1 1 1 1
"349" 0 5 5 5
"350" 1 1 1 1
"351" 1 3 3 3
"352" 1 5 5 5
"353" 1 4 3 3
"354" 1 1 1 1
"355" 1 2 1 1
"356" 0 1 1 1
"357" 0 1 2 2
"358" 1 3 3 1
"359" 0 1 1 2
"360" 0 1 2 2
"361" 0 5 5 5
"362" 0 1 1 1
"363" 0 5 5 5
"364" 0 1 1 1
"365" 0 2 2 3
"366" 1 5 5 5
"367" 0 5 5 5
"368" 0 5 5 5
"369" 1 1 1 1
"370" 1 2 2 2
"371" 0 3 3 3
"372" 1 5 4 4
"373" 1 3 3 2
"374" 1 2 2 1
"375" 1 1 1 1
"376" 1 5 5 5
"377" 0 1 2 2
"378" 0 5 5 5
"379" 1 2 2 1
"380" 0 4 4 5
"381" 0 5 5 5
"382" 0 1 1 1
"383" 0 1 1 2
"384" 0 5 5 5
"385" 0 1 1 3
"386" 0 5 5 5
"387" 0 5 5 5
"388" 1 1 1 1
"389" 1 1 1 1
"390" 0 3 3 4
"391" 1 1 1 1
"392" 0 3 3 3
"393" 1 5 5 5
"394" 1 5 5 4
"395" 0 1 1 1
"396" 1 1 1 1
"397" 1 3 3 2
"398" 1 1 1 1
"399" 1 4 4 3
"400" 1 2 1 1
"401" 0 1 1 1
"402" 1 2 2 1
"403" 0 2 2 3
"404" 0 4 4 4
"405" 0 2 2 3
"406" 1 3 3 2
"407" 1 5 5 5
"408" 0 5 5 5
"409" 0 1 1 1
"410" 0 2 2 2
"411" 1 1 1 1
"412" 1 3 2 2
"413" 0 1 1 1
"414" 0 3 3 4
"415" 0 1 2 2
"416" 1 5 5 5
"417" 1 5 4 3
"418" 1 1 1 1
"419" 1 3 2 1
"420" 0 2 2 3
"421" 0 2 2 2
"422" 0 2 2 3
"423" 0 1 1 1
"424" 0 5 5 5
"425" 1 3 3 3
"426" 1 1 1 1
"427" 0 5 5 5
"428" 1 5 5 4
"429" 0 2 2 3
"430" 1 5 4 4
"431" 1 5 5 5
"432" 0 2 3 4
"433" 0 3 3 4
"434" 1 2 2 1
"435" 0 4 4 5
"436" 1 3 3 2
"437" 1 1 1 1
"438" 1 1 1 1
"439" 1 4 4 3
"440" 0 5 5 5
"441" 1 4 4 4
"442" 0 4 4 5
"443" 1 5 5 5
"444" 1 4 4 4
"445" 0 2 2 2
"446" 0 1 1 1
"447" 1 4 4 3
"448" 1 2 2 1
"449" 0 4 4 4
"450" 1 5 5 5
"451" 0 1 1 1
"452" 0 2 2 3
"453" 1 4 4 3
"454" 0 5 5 5
"455" 1 5 5 4
"456" 1 5 5 5
"457" 1 3 3 2
"458" 1 5 5 5
"459" 1 3 3 3
"460" 0 3 3 4
"461" 1 3 3 3
"462" 0 5 5 5
"463" 0 5 5 5
"464" 0 1 1 1
"465" 0 2 2 4
"466" 1 5 5 5
"467" 0 5 5 5
"468" 1 4 3 3
"469" 1 4 4 3
"470" 0 1 1 2
"471" 1 4 4 3
"472" 0 5 5 5
"473" 0 4 4 5
"474" 0 2 2 2
"475" 1 1 1 1
"476" 1 5 5 4
"477" 0 5 5 5
"478" 1 5 5 5
"479" 0 4 5 5
"480" 0 4 4 5
"481" 0 4 4 4
"482" 0 5 5 5
"483" 0 1 1 1
"484" 1 5 5 5
"485" 1 2 2 1
"486" 1 2 2 2
"487" 1 5 5 5
"488" 1 5 5 5
"489" 0 1 1 1
"490" 0 1 2 3
"491" 1 3 3 3
"492" 0 3 3 4
"493" 0 5 5 5
"494" 0 3 4 4
"495" 1 1 1 1
"496" 0 1 1 1
"497" 0 3 3 3
"498" 1 4 4 3
"499" 0 4 4 5
"500" 1 5 5 5
"501" 0 3 4 4
"502" 0 2 3 3
"503" 0 4 4 4
"504" 1 5 5 5
"505" 0 2 2 1
"506" 1 5 5 5
"507" 0 1 1 1
"508" 0 3 3 4
"509" 0 5 5 5
"510" 1 5 5 5
"511" 0 3 4 4
"512" 1 5 5 5
"513" 0 5 5 5
"514" 1 3 3 2
"515" 0 4 4 5
"516" 1 5 5 5
"517" 0 5 5 5
"518" 0 1 1 1
"519" 1 2 1 1
"520" 1 1 1 1
"521" 1 1 1 1
"522" 1 5 5 5
"523" 0 1 1 1
"524" 0 1 1 2
"525" 1 1 1 1
"526" 0 4 4 5
"527" 1 5 5 5
"528" 1 1 1 1
"529" 1 3 3 3
"530" 0 1 1 1
"531" 1 2 2 2
"532" 0 2 2 2
"533" 1 5 5 4
"534" 0 1 1 1
"535" 1 5 5 4
"536" 0 3 3 4
"537" 1 1 1 1
"538" 1 4 4 2
"539" 0 1 1 1
"540" 0 2 2 2
"541" 1 2 2 2
"542" 0 1 1 1
"543" 1 3 3 1
"544" 1 4 4 4
"545" 1 3 3 2
"546" 1 4 4 3
"547" 1 5 4 3
"548" 1 5 5 4
"549" 0 3 3 3
"550" 1 5 5 5
"551" 0 1 2 3
"552" 0 1 1 1
"553" 0 1 1 1
"554" 0 3 3 4
"555" 0 5 5 5
"556" 1 4 4 4
"557" 1 4 4 4
"558" 0 5 5 5
"559" 0 5 5 5
"560" 0 1 1 1
"561" 0 5 5 5
"562" 0 3 3 4
"563" 1 4 4 3
"564" 1 5 5 4
"565" 0 5 5 5
"566" 1 5 5 5
"567" 0 4 4 4
"568" 0 4 4 4
"569" 1 2 2 1
"570" 0 2 2 2
"571" 0 2 2 3
"572" 0 5 5 5
"573" 1 3 3 2
"574" 0 5 5 5
"575" 0 2 2 3
"576" 1 2 2 1
"577" 1 1 1 1
"578" 1 1 1 1
"579" 1 1 1 1
"580" 0 5 5 5
"581" 0 1 1 1
"582" 0 2 2 2
"583" 1 1 1 1
"584" 0 5 5 5
"585" 1 5 5 3
"586" 0 3 4 5
"587" 0 1 1 1
"588" 1 1 1 1
"589" 0 1 1 1
"590" 0 5 5 5
"591" 0 4 4 5
"592" 0 2 2 3
"593" 1 1 1 1
"594" 0 5 5 5
"595" 0 2 2 3
"596" 1 5 5 4
"597" 0 1 1 2
"598" 1 5 5 5
"599" 1 2 2 1
"600" 0 1 1 1
"601" 1 5 5 4
"602" 1 2 1 1
"603" 0 1 1 1
"604" 0 4 4 4
"605" 0 1 1 1
"606" 0 5 5 5
"607" 1 1 1 1
"608" 0 1 1 2
"609" 1 2 2 1
"610" 0 5 5 5
"611" 0 5 5 5
"612" 0 5 5 5
"613" 1 1 1 1
"614" 1 2 2 1
"615" 0 1 1 1
"616" 0 2 2 3
"617" 1 5 5 5
"618" 0 5 5 5
"619" 1 5 5 4
"620" 1 2 2 1
"621" 0 2 2 3
"622" 0 1 2 2
"623" 0 5 5 5
"624" 0 1 1 1
"625" 0 4 4 4
"626" 1 5 5 3
"627" 1 5 5 5
"628" 0 5 5 5
"629" 1 1 1 1
"630" 1 4 3 1
"631" 1 3 3 1
"632" 1 3 3 2
"633" 0 1 1 1
"634" 0 5 5 5
"635" 0 2 3 3
"636" 1 1 1 1
"637" 0 4 4 4
"638" 1 1 1 1
"639" 0 3 3 3
"640" 1 1 1 1
"641" 1 2 2 1
"642" 0 4 4 4
"643" 1 5 4 3
"644" 1 5 5 4
"645" 0 5 5 5
"646" 0 2 2 2
"647" 0 5 5 5
"648" 1 1 1 1
"649" 0 3 3 3
"650" 0 2 2 2
"651" 0 1 1 1
"652" 1 1 1 1
"653" 0 5 5 5
"654" 0 1 1 1
"655" 0 4 4 4
"656" 1 2 2 2
"657" 1 4 4 4
"658" 1 1 1 1
"659" 1 5 5 5
"660" 0 5 5 5
"661" 1 5 5 4
"662" 0 3 3 4
"663" 0 1 1 1
"664" 0 1 1 1
"665" 0 1 1 1
"666" 0 5 5 5
"667" 1 1 1 1
"668" 1 1 1 1
"669" 1 1 1 1
"670" 1 1 1 1
"671" 0 3 3 4
"672" 1 3 3 3
"673" 0 3 3 3
"674" 1 5 5 5
"675" 0 5 5 5
"676" 0 1 1 1
"677" 0 2 2 3
"678" 1 3 3 2
"679" 0 1 1 1
"680" 1 2 2 2
"681" 1 4 4 2
"682" 0 3 3 4
"683" 0 2 2 2
"684" 0 2 2 3
"685" 0 3 3 4
"686" 1 4 4 3
"687" 1 1 1 1
"688" 1 5 5 5
"689" 0 2 2 2
"690" 1 5 5 5
"691" 1 3 3 2
"692" 0 2 2 3
"693" 0 3 3 4
"694" 1 2 2 2
"695" 0 5 5 5
"696" 0 3 3 3
"697" 1 5 5 4
"698" 1 3 3 2
"699" 0 1 1 1
"700" 0 4 4 5
"701" 1 1 1 1
"702" 1 3 2 1
"703" 0 3 3 4
"704" 1 5 4 4
"705" 1 4 4 3
"706" 0 3 4 5
"707" 0 5 5 5
"708" 1 2 2 1
"709" 1 1 1 1
"710" 1 1 1 1
"711" 1 1 1 1
"712" 0 1 1 1
"713" 1 1 1 1
"714" 0 4 4 5
"715" 0 1 1 1
"716" 1 2 2 2
"717" 1 5 5 4
"718" 0 2 2 2
"719" 0 3 3 4
"720" 0 1 1 1
"721" 0 1 1 1
"722" 0 2 2 2
"723" 0 5 5 5
"724" 0 1 1 1
"725" 1 5 5 5
"726" 0 3 3 3
"727" 0 5 5 5
"728" 1 3 2 2
"729" 1 5 5 5
"730" 0 5 5 5
"731" 1 1 1 1
"732" 1 2 2 1
"733" 0 5 5 5
"734" 0 4 4 5
"735" 0 4 4 4
"736" 1 4 4 4
"737" 0 4 4 5
"738" 1 5 5 5
"739" 1 1 1 1
"740" 0 1 1 1
"741" 1 2 2 1
"742" 1 1 1 1
"743" 1 5 5 4
"744" 0 3 3 3
"745" 1 1 1 1
"746" 0 2 3 4
"747" 1 5 5 5
"748" 1 3 2 2
"749" 1 2 2 2
"750" 0 1 1 1
"751" 1 1 1 1
"752" 1 4 4 3
"753" 1 5 5 5
"754" 1 1 1 1
"755" 0 5 5 5
"756" 0 2 2 2
"757" 1 3 3 2
"758" 1 4 4 4
"759" 0 5 5 5
"760" 0 3 3 4
"761" 0 1 1 1
"762" 1 3 3 2
"763" 1 1 1 1
"764" 0 5 5 5
"765" 1 4 4 3
"766" 1 3 3 3
"767" 0 1 1 1
"768" 0 5 5 5
"769" 1 5 5 4
"770" 1 1 1 1
"771" 0 5 5 5
"772" 1 2 1 1
"773" 1 5 5 5
"774" 0 1 2 2
"775" 1 5 5 5
"776" 1 2 2 2
"777" 0 1 1 1
"778" 0 1 1 1
"779" 0 4 5 5
"780" 1 2 2 2
"781" 1 4 4 4
"782" 1 5 5 5
"783" 0 5 5 5
"784" 1 3 3 3
"785" 0 2 2 3
"786" 0 1 1 1
"787" 0 1 1 1
"788" 0 1 1 1
"789" 1 4 4 4
"790" 1 3 3 3
"791" 1 1 1 1
"792" 0 1 1 1
"793" 1 1 1 1
"794" 1 4 4 4
"795" 0 3 3 4
"796" 1 5 5 5
"797" 1 1 1 1
"798" 1 5 5 5
"799" 1 5 5 5
"800" 0 1 1 2
