"Sex" "RepubChoice" "DemChoice"
"128" "Female" "Trump" "Clinton"
"129" "Female" "Trump" "Clinton"
"130" "Male" "Trump" "Clinton"
"131" "Female" "Other" "Clinton"
"132" "Female" "Cruz" "Sanders"
"133" "Male" "Cruz" "Sanders"
"134" "Female" "Trump" "Clinton"
"135" "Female" "Trump" "Clinton"
"136" "Male" "Cruz" "Sanders"
"137" "Male" "Other" "Clinton"
"138" "Male" "Trump" "Clinton"
"139" "Male" "Trump" "Clinton"
"140" "Female" "Cruz" "Sanders"
"141" "Female" "Other" "Clinton"
"142" "Male" "Cruz" "Sanders"
"143" "Female" "Cruz" "Sanders"
"144" "Female" "Other" "Clinton"
"145" "Male" "Trump" "Clinton"
"146" "Female" "Trump" "Clinton"
"147" "Male" "Cruz" "Sanders"
"148" "Female" "Cruz" "Sanders"
"149" "Male" "Cruz" "Sanders"
"150" "Male" "Trump" "Clinton"
"151" "Female" "Other" "Clinton"
"152" "Male" "Other" "Clinton"
"153" "Female" "Trump" "Clinton"
"154" "Male" "Trump" "Clinton"
"155" "Female" "Cruz" "Sanders"
"156" "Male" "Trump" "Clinton"
"157" "Male" "Trump" "Clinton"
"158" "Female" "Trump" "Clinton"
"159" "Male" "Trump" "Sanders"
"160" "Female" "Cruz" "Sanders"
"161" "Male" "Trump" "Clinton"
"162" "Female" "Trump" "Clinton"
"163" "Female" "Other" "Clinton"
"164" "Male" "Trump" "Clinton"
"165" "Male" "Trump" "Clinton"
"166" "Male" "Trump" "Sanders"
"167" "Female" "Trump" "Sanders"
"168" "Female" "Trump" "Clinton"
"169" "Male" "Cruz" "Sanders"
"170" "Female" "Trump" "Clinton"
"171" "Male" "Trump" "Clinton"
"172" "Male" "Trump" "Sanders"
"173" "Female" "Trump" "Clinton"
"174" "Female" "Trump" "Clinton"
"175" "Male" "Cruz" "Sanders"
"176" "Female" "Trump" "Clinton"
"177" "Female" "Cruz" "Sanders"
"178" "Male" "Other" "Clinton"
"179" "Female" "Cruz" "Sanders"
"180" "Female" "Cruz" "Sanders"
"181" "Male" "Trump" "Clinton"
"182" "Female" "Trump" "Sanders"
"183" "Male" "Trump" "Clinton"
"184" "Female" "Cruz" "Sanders"
"185" "Female" "Trump" "Clinton"
"186" "Female" "Trump" "Clinton"
"187" "Male" "Cruz" "Sanders"
"188" "Male" "Cruz" "Sanders"
"189" "Male" "Trump" "Clinton"
"190" "Female" "Cruz" "Sanders"
"191" "Male" "Trump" "Clinton"
"192" "Female" "Cruz" "Sanders"
"193" "Female" "Cruz" "Sanders"
"194" "Female" "Trump" "Clinton"
"195" "Male" "Trump" "Clinton"
"196" "Male" "Cruz" "Sanders"
"197" "Male" "Trump" "Clinton"
"198" "Male" "Cruz" "Sanders"
"199" "Female" "Other" "Clinton"
"200" "Female" "Trump" "Clinton"
"201" "Female" "Trump" "Clinton"
"202" "Female" "Trump" "Clinton"
"203" "Female" "Other" "Clinton"
"204" "Female" "Cruz" "Sanders"
"205" "Male" "Trump" "Sanders"
"206" "Female" "Trump" "Clinton"
"207" "Female" "Other" "Clinton"
"208" "Female" "Trump" "Sanders"
"209" "Male" "Cruz" "Sanders"
"210" "Female" "Trump" "Sanders"
"211" "Female" "Trump" "Sanders"
"212" "Female" "Trump" "Clinton"
"213" "Male" "Trump" "Sanders"
"214" "Female" "Trump" "Sanders"
"215" "Male" "Cruz" "Sanders"
"216" "Male" "Trump" "Clinton"
"217" "Female" "Cruz" "Sanders"
"218" "Female" "Other" "Clinton"
"219" "Female" "Other" "Clinton"
"220" "Male" "Cruz" "Sanders"
"221" "Female" "Trump" "Clinton"
"222" "Female" "Cruz" "Sanders"
"223" "Female" "Cruz" "Sanders"
"224" "Female" "Cruz" "Sanders"
"225" "Male" "Cruz" "Sanders"
"226" "Male" "Trump" "Sanders"
"227" "Female" "Trump" "Clinton"
"228" "Female" "Trump" "Sanders"
"229" "Male" "Cruz" "Sanders"
"230" "Female" "Other" "Clinton"
"231" "Male" "Trump" "Sanders"
"232" "Female" "Trump" "Clinton"
"233" "Male" "Trump" "Clinton"
"234" "Female" "Trump" "Clinton"
"235" "Female" "Cruz" "Sanders"
"236" "Male" "Other" "Clinton"
"237" "Male" "Cruz" "Sanders"
"238" "Male" "Trump" "Sanders"
"239" "Male" "Cruz" "Sanders"
"240" "Male" "Other" "Clinton"
"241" "Male" "Cruz" "Sanders"
"242" "Female" "Cruz" "Sanders"
"243" "Female" "Cruz" "Sanders"
"244" "Male" "Cruz" "Sanders"
"245" "Female" "Cruz" "Sanders"
"246" "Male" "Trump" "Sanders"
"247" "Female" "Other" "Clinton"
"248" "Male" "Cruz" "Sanders"
"249" "Male" "Trump" "Clinton"
"250" "Female" "Trump" "Clinton"
"251" "Male" "Trump" "Sanders"
"252" "Male" "Cruz" "Sanders"
"253" "Male" "Cruz" "Sanders"
"254" "Male" "Other" "Clinton"
"255" "Female" "Trump" "Clinton"
"256" "Male" "Cruz" "Sanders"
"257" "Male" "Cruz" "Sanders"
"258" "Male" "Cruz" "Sanders"
"259" "Male" "Trump" "Clinton"
"260" "Female" "Cruz" "Sanders"
"261" "Male" "Other" "Clinton"
"262" "Female" "Trump" "Clinton"
"263" "Female" "Trump" "Clinton"
"264" "Female" "Other" "Clinton"
"265" "Female" "Cruz" "Sanders"
"266" "Male" "Trump" "Clinton"
"267" "Male" "Trump" "Clinton"
"268" "Female" "Trump" "Clinton"
"269" "Male" "Trump" "Sanders"
"270" "Male" "Cruz" "Sanders"
"271" "Male" "Cruz" "Sanders"
"272" "Female" "Cruz" "Sanders"
"273" "Female" "Trump" "Clinton"
"274" "Male" "Other" "Clinton"
"275" "Female" "Trump" "Sanders"
"276" "Male" "Cruz" "Sanders"
"277" "Female" "Cruz" "Sanders"
"278" "Female" "Trump" "Sanders"
"279" "Male" "Cruz" "Sanders"
"280" "Male" "Trump" "Clinton"
"281" "Male" "Trump" "Clinton"
"282" "Male" "Cruz" "Sanders"
"283" "Female" "Other" "Clinton"
"284" "Male" "Cruz" "Sanders"
"285" "Female" "Trump" "Clinton"
"286" "Female" "Trump" "Clinton"
"287" "Male" "Trump" "Clinton"
"288" "Male" "Cruz" "Sanders"
"289" "Male" "Cruz" "Sanders"
"290" "Female" "Cruz" "Sanders"
"291" "Male" "Trump" "Clinton"
"292" "Female" "Cruz" "Sanders"
"293" "Female" "Trump" "Sanders"
"294" "Female" "Trump" "Sanders"
"295" "Male" "Trump" "Clinton"
"296" "Female" "Trump" "Clinton"
"297" "Female" "Trump" "Clinton"
"298" "Female" "Cruz" "Sanders"
"299" "Female" "Trump" "Clinton"
"300" "Male" "Cruz" "Sanders"
"301" "Female" "Trump" "Clinton"
"302" "Male" "Other" "Clinton"
"303" "Female" "Cruz" "Sanders"
"304" "Female" "Cruz" "Sanders"
"305" "Male" "Cruz" "Sanders"
"306" "Male" "Other" "Clinton"
"307" "Male" "Trump" "Clinton"
"308" "Female" "Cruz" "Sanders"
"309" "Female" "Trump" "Sanders"
"310" "Male" "Trump" "Clinton"
"311" "Female" "Trump" "Clinton"
"312" "Male" "Cruz" "Sanders"
"313" "Female" "Trump" "Clinton"
"314" "Male" "Cruz" "Sanders"
"315" "Male" "Trump" "Clinton"
"316" "Male" "Trump" "Clinton"
"317" "Male" "Trump" "Clinton"
"318" "Male" "Trump" "Clinton"
"319" "Male" "Trump" "Clinton"
"320" "Female" "Other" "Clinton"
"321" "Female" "Trump" "Clinton"
"322" "Female" "Cruz" "Sanders"
"323" "Male" "Trump" "Clinton"
"324" "Male" "Cruz" "Sanders"
"325" "Male" "Cruz" "Sanders"
"326" "Male" "Trump" "Sanders"
"327" "Female" "Cruz" "Sanders"
"328" "Male" "Trump" "Clinton"
"329" "Male" "Trump" "Clinton"
"330" "Female" "Trump" "Clinton"
"331" "Female" "Other" "Clinton"
"332" "Female" "Other" "Clinton"
"333" "Female" "Trump" "Sanders"
"334" "Female" "Trump" "Clinton"
"335" "Female" "Other" "Clinton"
"336" "Male" "Trump" "Sanders"
"337" "Female" "Cruz" "Sanders"
"338" "Male" "Other" "Clinton"
"339" "Female" "Trump" "Clinton"
"340" "Female" "Other" "Clinton"
"341" "Female" "Cruz" "Sanders"
"342" "Female" "Other" "Clinton"
"343" "Male" "Other" "Clinton"
"344" "Female" "Trump" "Sanders"
"345" "Male" "Trump" "Clinton"
"346" "Male" "Trump" "Clinton"
"347" "Female" "Trump" "Clinton"
"348" "Female" "Cruz" "Sanders"
"349" "Male" "Other" "Clinton"
"350" "Female" "Cruz" "Sanders"
"351" "Female" "Trump" "Sanders"
"352" "Female" "Cruz" "Sanders"
"353" "Male" "Trump" "Sanders"
"354" "Male" "Trump" "Sanders"
"355" "Female" "Trump" "Sanders"
"356" "Female" "Trump" "Sanders"
"357" "Male" "Trump" "Clinton"
"358" "Female" "Other" "Clinton"
"359" "Male" "Cruz" "Sanders"
"360" "Male" "Other" "Clinton"
"361" "Female" "Trump" "Clinton"
"362" "Male" "Other" "Clinton"
"363" "Female" "Cruz" "Sanders"
"364" "Female" "Cruz" "Sanders"
"365" "Male" "Trump" "Clinton"
"366" "Male" "Cruz" "Sanders"
"367" "Female" "Trump" "Clinton"
"368" "Female" "Cruz" "Sanders"
"369" "Female" "Trump" "Clinton"
"370" "Female" "Trump" "Clinton"
"371" "Female" "Trump" "Clinton"
"372" "Female" "Trump" "Clinton"
"373" "Female" "Cruz" "Sanders"
"374" "Female" "Trump" "Clinton"
"375" "Female" "Trump" "Clinton"
"376" "Female" "Other" "Clinton"
"377" "Male" "Trump" "Sanders"
"378" "Male" "Cruz" "Sanders"
"379" "Female" "Cruz" "Sanders"
"380" "Female" "Other" "Clinton"
"381" "Female" "Trump" "Clinton"
"382" "Male" "Cruz" "Sanders"
"383" "Female" "Cruz" "Sanders"
"384" "Female" "Cruz" "Sanders"
"385" "Male" "Trump" "Clinton"
"386" "Female" "Cruz" "Sanders"
"387" "Male" "Trump" "Sanders"
"388" "Female" "Other" "Clinton"
"389" "Male" "Trump" "Clinton"
"390" "Female" "Other" "Clinton"
"391" "Male" "Trump" "Sanders"
"392" "Female" "Trump" "Clinton"
"393" "Male" "Trump" "Sanders"
"394" "Female" "Trump" "Clinton"
"395" "Male" "Trump" "Clinton"
"396" "Female" "Cruz" "Sanders"
"397" "Male" "Other" "Clinton"
"398" "Female" "Trump" "Clinton"
"399" "Female" "Other" "Clinton"
"400" "Female" "Trump" "Clinton"
"401" "Male" "Cruz" "Sanders"
"402" "Female" "Trump" "Clinton"
"403" "Male" "Trump" "Clinton"
"404" "Male" "Trump" "Sanders"
"405" "Female" "Trump" "Clinton"
"406" "Male" "Other" "Clinton"
"407" "Female" "Trump" "Clinton"
"408" "Female" "Trump" "Clinton"
"409" "Female" "Trump" "Sanders"
"410" "Female" "Trump" "Clinton"
"411" "Male" "Cruz" "Sanders"
"412" "Male" "Trump" "Clinton"
"413" "Male" "Trump" "Clinton"
"414" "Male" "Cruz" "Sanders"
"415" "Female" "Trump" "Clinton"
"416" "Male" "Cruz" "Sanders"
"417" "Female" "Trump" "Clinton"
"418" "Female" "Trump" "Clinton"
"419" "Female" "Trump" "Clinton"
"420" "Female" "Cruz" "Sanders"
"421" "Male" "Trump" "Clinton"
"422" "Female" "Other" "Clinton"
"423" "Female" "Trump" "Clinton"
"424" "Male" "Cruz" "Sanders"
"425" "Male" "Trump" "Clinton"
"426" "Female" "Cruz" "Sanders"
"427" "Male" "Trump" "Sanders"
"428" "Female" "Other" "Clinton"
"429" "Female" "Trump" "Sanders"
"430" "Female" "Trump" "Clinton"
"431" "Female" "Trump" "Clinton"
"432" "Female" "Cruz" "Sanders"
"433" "Female" "Trump" "Clinton"
"434" "Male" "Cruz" "Sanders"
"435" "Male" "Trump" "Sanders"
"436" "Female" "Trump" "Clinton"
"437" "Male" "Cruz" "Sanders"
"438" "Male" "Trump" "Clinton"
"439" "Female" "Cruz" "Sanders"
"440" "Male" "Cruz" "Sanders"
"441" "Male" "Trump" "Clinton"
"442" "Female" "Trump" "Clinton"
"443" "Male" "Cruz" "Sanders"
"444" "Male" "Trump" "Clinton"
"445" "Female" "Cruz" "Sanders"
"446" "Female" "Cruz" "Sanders"
"447" "Female" "Trump" "Clinton"
"448" "Male" "Cruz" "Sanders"
"449" "Female" "Trump" "Clinton"
"450" "Male" "Trump" "Sanders"
"451" "Male" "Trump" "Clinton"
"452" "Female" "Other" "Clinton"
"453" "Male" "Cruz" "Sanders"
"454" "Male" "Trump" "Sanders"
"455" "Male" "Cruz" "Sanders"
"456" "Female" "Cruz" "Sanders"
"457" "Male" "Trump" "Clinton"
"458" "Female" "Trump" "Clinton"
"459" "Female" "Trump" "Clinton"
"460" "Male" "Trump" "Clinton"
"461" "Female" "Trump" "Sanders"
"462" "Male" "Trump" "Sanders"
"463" "Male" "Other" "Clinton"
"464" "Male" "Trump" "Clinton"
"465" "Male" "Other" "Clinton"
"466" "Female" "Cruz" "Sanders"
"467" "Female" "Trump" "Clinton"
"468" "Female" "Trump" "Clinton"
"469" "Male" "Trump" "Clinton"
"470" "Female" "Cruz" "Sanders"
"471" "Male" "Cruz" "Sanders"
"472" "Female" "Cruz" "Sanders"
"473" "Male" "Trump" "Sanders"
"474" "Female" "Cruz" "Sanders"
"475" "Female" "Trump" "Clinton"
"476" "Female" "Cruz" "Sanders"
"477" "Female" "Cruz" "Sanders"
"478" "Female" "Cruz" "Sanders"
"479" "Male" "Trump" "Sanders"
"480" "Male" "Trump" "Sanders"
"481" "Female" "Trump" "Clinton"
"482" "Male" "Other" "Clinton"
"483" "Female" "Trump" "Clinton"
"484" "Male" "Trump" "Clinton"
"485" "Female" "Trump" "Clinton"
"486" "Female" "Trump" "Clinton"
"487" "Female" "Other" "Clinton"
"488" "Female" "Cruz" "Sanders"
"489" "Male" "Trump" "Clinton"
"490" "Female" "Cruz" "Sanders"
"491" "Female" "Trump" "Clinton"
"492" "Male" "Trump" "Sanders"
"493" "Male" "Cruz" "Sanders"
"494" "Female" "Trump" "Sanders"
"495" "Female" "Trump" "Clinton"
"496" "Female" "Other" "Clinton"
"497" "Male" "Trump" "Clinton"
"498" "Male" "Trump" "Clinton"
"499" "Male" "Cruz" "Sanders"
"500" "Female" "Trump" "Sanders"
