"HarmTotal" "FairTotal" "IngroupTotal" "AuthTotal" "PureTotal" "Control" "TreatP" "TreatIP" "Dem" "Rep" "Ind" "Ideol" "MF" "PartyID" "ExpGroup"
"34" 15 17 8 10 11 1 0 0 1 0 0 1 "Female" "Democrat" "Control"
"35" 13 14 6 6 10 0 0 1 0 0 1 2 "Male" "Independent" "Party+Ideol"
"36" 20 17 11 13 16 0 0 1 0 1 0 6 "Female" "Republican" "Party+Ideol"
"37" 18 20 9 8 11 1 0 0 1 0 0 1 "Female" "Democrat" "Control"
"38" 3 3 12 14 13 0 0 1 0 1 0 6 "Male" "Republican" "Party+Ideol"
"39" 13 17 9 9 7 0 1 0 0 0 1 3 "Male" "Independent" "Party"
"40" 11 11 5 3 4 0 1 0 0 0 1 4 "Male" "Independent" "Party"
"41" 16 17 2 4 6 1 0 0 1 0 0 2 "Male" "Democrat" "Control"
"42" 0 2 13 13 11 0 1 0 0 0 1 6 "Male" "Independent" "Party"
"43" 12 15 7 9 11 0 0 1 0 0 1 4 "Male" "Independent" "Party+Ideol"
"44" 15 17 6 6 3 0 0 1 1 0 0 1 "Female" "Democrat" "Party+Ideol"
"45" 17 15 13 11 11 1 0 0 0 0 1 3 "Female" "Independent" "Control"
"46" 17 16 7 6 4 0 1 0 1 0 0 2 "Female" "Democrat" "Party"
"47" 13 12 13 15 11 0 0 1 0 0 1 5 "Male" "Independent" "Party+Ideol"
"48" 15 13 3 4 7 0 1 0 1 0 0 3 "Male" "Democrat" "Party"
"49" 12 16 1 8 7 0 0 1 0 0 1 2 "Male" "Independent" "Party+Ideol"
"50" 19 16 8 2 8 1 0 0 1 0 0 1 "Female" "Democrat" "Control"
"51" 12 17 13 13 10 0 0 1 0 0 1 4 "Female" "Independent" "Party+Ideol"
"52" 17 16 7 7 3 0 1 0 1 0 0 2 "Male" "Democrat" "Party"
"53" 12 12 7 8 3 0 1 0 1 0 0 2 "Male" "Democrat" "Party"
"54" 17 16 8 8 10 0 0 1 0 0 0 4 "Male" NA "Party+Ideol"
"55" 16 19 6 7 15 1 0 0 1 0 0 3 "Male" "Democrat" "Control"
"56" 20 19 6 1 0 0 0 1 1 0 0 1 "Female" "Democrat" "Party+Ideol"
"57" 17 17 8 5 2 1 0 0 1 0 0 1 "Male" "Democrat" "Control"
"58" 10 12 4 3 5 0 1 0 1 0 0 3 "Female" "Democrat" "Party"
"59" 18 17 15 5 14 0 0 1 1 0 0 2 "Female" "Democrat" "Party+Ideol"
"60" 18 20 7 6 3 0 0 1 1 0 0 1 "Female" "Democrat" "Party+Ideol"
"61" 15 19 4 3 4 0 1 0 0 0 0 3 "Male" NA "Party"
"62" 11 11 15 15 16 0 1 0 0 1 0 7 "Male" "Republican" "Party"
"63" 12 15 9 15 4 1 0 0 0 1 0 5 "Male" "Republican" "Control"
"64" 17 18 8 5 1 0 1 0 1 0 0 1 "Female" "Democrat" "Party"
"65" 12 16 11 6 7 1 0 0 1 0 0 1 "Female" "Democrat" "Control"
"66" 16 17 13 9 18 0 0 1 0 0 1 3 "Female" "Independent" "Party+Ideol"
"67" 10 10 8 9 7 0 0 1 0 0 0 4 "Male" NA "Party+Ideol"
"68" 14 13 13 11 12 0 1 0 1 0 0 3 "Female" "Democrat" "Party"
"69" 12 19 7 10 10 1 0 0 1 0 0 2 "Male" "Democrat" "Control"
"70" 17 13 8 13 2 0 0 1 0 0 1 2 "Female" "Independent" "Party+Ideol"
"71" 17 19 8 0 1 0 1 0 1 0 0 1 "Female" "Democrat" "Party"
"72" 17 16 7 3 0 0 0 1 1 0 0 1 "Male" "Democrat" "Party+Ideol"
"73" 16 15 10 11 9 1 0 0 0 0 1 4 "Male" "Independent" "Control"
"74" 13 15 10 14 16 0 0 1 0 0 0 4 "Male" NA "Party+Ideol"
"75" 12 15 7 2 2 0 0 1 0 0 0 2 "Male" NA "Party+Ideol"
"76" 1 12 11 6 5 0 1 0 1 0 0 5 "Male" "Democrat" "Party"
"77" 6 7 3 3 3 0 1 0 0 0 1 4 "Male" "Independent" "Party"
"78" 20 20 10 4 3 0 0 1 0 0 1 3 "Female" "Independent" "Party+Ideol"
"79" 17 18 6 0 2 1 0 0 0 0 0 2 "Male" NA "Control"
"80" 18 20 6 0 0 0 0 1 1 0 0 2 "Male" "Democrat" "Party+Ideol"
"81" 18 18 3 1 0 1 0 0 0 0 1 2 "Male" "Independent" "Control"
"82" 10 14 9 9 7 0 1 0 0 1 0 6 "Female" "Republican" "Party"
"83" 6 10 11 2 0 0 1 0 0 0 1 4 "Female" "Independent" "Party"
"84" 10 9 10 10 8 1 0 0 1 0 0 4 "Male" "Democrat" "Control"
"85" 14 15 11 10 15 1 0 0 1 0 0 4 "Female" "Democrat" "Control"
"86" 8 15 6 7 10 0 0 1 0 0 1 5 "Male" "Independent" "Party+Ideol"
"87" 10 14 7 12 4 0 0 1 1 0 0 3 "Male" "Democrat" "Party+Ideol"
"88" 14 17 12 10 7 0 1 0 1 0 0 2 "Male" "Democrat" "Party"
"89" 9 13 8 6 5 1 0 0 0 0 0 2 "Male" NA "Control"
"90" 12 17 11 11 11 0 0 1 1 0 0 3 "Male" "Democrat" "Party+Ideol"
"91" 11 9 10 6 4 0 1 0 1 0 0 4 "Male" "Democrat" "Party"
"92" 12 20 8 12 10 0 1 0 0 1 0 7 "Male" "Republican" "Party"
"93" 18 19 10 5 9 0 0 1 1 0 0 2 "Female" "Democrat" "Party+Ideol"
"94" 15 17 10 7 7 1 0 0 1 0 0 2 "Female" "Democrat" "Control"
"95" 20 19 7 9 7 0 1 0 0 0 0 3 "Female" NA "Party"
"96" 19 20 1 6 0 1 0 0 1 0 0 2 "Male" "Democrat" "Control"
"97" 12 15 8 6 10 0 0 1 1 0 0 2 "Male" "Democrat" "Party+Ideol"
"98" 14 13 9 11 12 1 0 0 1 0 0 4 "Female" "Democrat" "Control"
"99" 8 6 12 8 8 0 0 1 0 0 0 4 "Male" NA "Party+Ideol"
"100" 16 16 12 12 11 0 1 0 1 0 0 4 "Female" "Democrat" "Party"
"101" 15 14 6 7 0 0 1 0 0 0 1 4 "Male" "Independent" "Party"
"102" 10 14 8 2 0 0 0 1 0 0 0 3 "Male" NA "Party+Ideol"
"103" 15 10 8 7 2 1 0 0 1 0 0 3 "Female" "Democrat" "Control"
"104" 10 13 9 10 1 1 0 0 0 0 0 5 "Male" NA "Control"
"105" 20 20 3 3 2 0 0 1 0 0 1 3 "Female" "Independent" "Party+Ideol"
"106" 13 14 7 4 5 0 1 0 1 0 0 1 "Female" "Democrat" "Party"
"107" 19 17 13 3 7 1 0 0 0 1 0 5 "Female" "Republican" "Control"
"108" 11 15 12 7 3 0 0 1 1 0 0 2 "Male" "Democrat" "Party+Ideol"
"109" 15 6 5 7 0 0 1 0 0 0 1 2 "Male" "Independent" "Party"
"110" 16 19 5 9 0 1 0 0 1 0 0 3 "Male" "Democrat" "Control"
"111" 11 16 7 5 2 0 0 1 1 0 0 2 "Male" "Democrat" "Party+Ideol"
"112" 18 18 6 7 4 0 1 0 1 0 0 2 "Male" "Democrat" "Party"
"113" 9 11 3 2 0 0 0 1 0 0 0 4 "Male" NA "Party+Ideol"
"114" 17 17 9 7 8 1 0 0 0 0 1 2 "Male" "Independent" "Control"
"115" 15 18 9 6 0 0 1 0 0 0 1 1 "Male" "Independent" "Party"
"116" 16 18 8 11 4 0 1 0 1 0 0 2 "Male" "Democrat" "Party"
"117" 18 16 3 0 0 1 0 0 1 0 0 2 "Female" "Democrat" "Control"
"118" 16 14 10 13 14 1 0 0 0 1 0 5 "Female" "Republican" "Control"
"119" 17 16 11 10 10 0 0 1 0 0 1 2 "Male" "Independent" "Party+Ideol"
"120" 13 13 10 4 2 0 0 1 1 0 0 2 "Male" "Democrat" "Party+Ideol"
"121" 12 13 12 11 16 1 0 0 0 1 0 5 "Male" "Republican" "Control"
"122" 15 17 4 5 5 0 1 0 1 0 0 1 "Female" "Democrat" "Party"
"123" 7 9 14 16 17 0 0 1 0 0 1 5 "Male" "Independent" "Party+Ideol"
"124" 17 14 14 8 5 0 0 1 1 0 0 2 "Female" "Democrat" "Party+Ideol"
"125" 17 16 6 6 9 1 0 0 1 0 0 3 "Female" "Democrat" "Control"
"126" 11 14 7 7 6 0 1 0 1 0 0 2 "Male" "Democrat" "Party"
"127" 16 12 2 0 0 0 0 1 0 0 0 3 "Female" NA "Party+Ideol"
"128" 10 14 3 2 0 0 0 1 1 0 0 1 "Male" "Democrat" "Party+Ideol"
"129" 14 18 11 16 10 1 0 0 0 0 1 3 "Male" "Independent" "Control"
"130" 16 17 5 7 5 0 1 0 1 0 0 2 "Female" "Democrat" "Party"
"131" 17 17 6 4 1 1 0 0 0 0 1 4 "Female" "Independent" "Control"
"132" 16 13 11 12 13 0 1 0 0 0 1 4 "Female" "Independent" "Party"
"133" 13 13 10 11 14 0 0 1 0 0 1 4 "Male" "Independent" "Party+Ideol"
"134" 20 20 19 18 20 1 0 0 0 1 0 5 "Female" "Republican" "Control"
"135" 16 15 8 9 6 0 0 1 1 0 0 2 "Female" "Democrat" "Party+Ideol"
"136" 20 15 9 7 4 1 0 0 1 0 0 2 "Female" "Democrat" "Control"
"137" 14 13 14 14 15 0 1 0 0 1 0 6 "Female" "Republican" "Party"
"138" 16 15 8 6 3 1 0 0 1 0 0 2 "Male" "Democrat" "Control"
"139" 19 15 6 5 3 0 0 1 1 0 0 2 "Female" "Democrat" "Party+Ideol"
"140" 12 13 12 13 12 0 1 0 0 1 0 2 "Female" "Republican" "Party"
"141" 17 15 9 12 11 1 0 0 0 1 0 5 "Male" "Republican" "Control"
"142" 16 19 5 5 2 0 0 1 1 0 0 2 "Male" "Democrat" "Party+Ideol"
"143" 11 16 10 13 10 0 1 0 1 0 0 4 "Male" "Democrat" "Party"
"144" 16 13 12 16 8 0 1 0 0 1 0 4 "Female" "Republican" "Party"
"145" 19 17 8 6 3 1 0 0 1 0 0 3 "Female" "Democrat" "Control"
"146" 15 20 9 7 0 0 0 1 0 0 1 4 "Male" "Independent" "Party+Ideol"
"147" 14 18 13 11 2 0 0 1 0 0 1 4 "Male" "Independent" "Party+Ideol"
"148" 9 10 8 7 11 0 1 0 1 0 0 2 "Male" "Democrat" "Party"
"149" 17 15 12 9 4 1 0 0 1 0 0 2 "Male" "Democrat" "Control"
"150" 12 12 0 0 8 1 0 0 0 0 0 4 "Male" NA "Control"
"151" 17 14 7 11 9 0 1 0 0 0 1 3 "Male" "Independent" "Party"
"152" 16 16 5 6 5 0 0 1 1 0 0 2 "Male" "Democrat" "Party+Ideol"
"153" 13 10 10 13 5 0 1 0 0 1 0 6 "Female" "Republican" "Party"
"154" 20 17 1 0 0 0 0 1 0 0 1 2 "Female" "Independent" "Party+Ideol"
"155" 15 18 10 10 14 1 0 0 0 0 1 5 "Male" "Independent" "Control"
"156" 13 14 11 8 14 0 0 1 1 0 0 4 "Female" "Democrat" "Party+Ideol"
"157" 20 19 12 13 14 0 1 0 0 0 1 6 "Male" "Independent" "Party"
"158" 14 13 6 7 1 1 0 0 1 0 0 1 "Female" "Democrat" "Control"
"159" 17 17 7 8 13 0 0 1 0 0 0 4 "Male" NA "Party+Ideol"
"160" 18 17 17 15 20 0 1 0 1 0 0 4 "Female" "Democrat" "Party"
"161" 13 12 3 6 2 0 0 1 0 0 1 4 "Female" "Independent" "Party+Ideol"
"162" 15 14 11 9 4 1 0 0 1 0 0 2 "Female" "Democrat" "Control"
"163" 17 16 11 10 6 0 1 0 0 0 1 5 "Female" "Independent" "Party"
"164" 19 15 12 17 16 1 0 0 0 0 1 5 "Male" "Independent" "Control"
"165" 9 7 7 9 10 0 0 1 0 1 0 5 "Female" "Republican" "Party+Ideol"
"166" 13 11 13 12 13 1 0 0 0 0 0 4 "Female" NA "Control"
"167" 17 17 12 16 18 0 0 1 0 0 1 4 "Female" "Independent" "Party+Ideol"
"168" 13 12 12 9 10 1 0 0 0 1 0 6 "Male" "Republican" "Control"
"169" 9 10 9 12 7 0 1 0 0 0 1 4 "Male" "Independent" "Party"
"170" 17 16 9 2 3 0 1 0 0 0 1 3 "Male" "Independent" "Party"
"171" 13 14 11 13 7 0 0 1 0 1 0 5 "Male" "Republican" "Party+Ideol"
"172" 11 15 6 5 3 1 0 0 0 0 0 3 "Male" NA "Control"
"173" 18 14 7 9 15 1 0 0 0 0 1 4 "Female" "Independent" "Control"
"174" 13 12 12 7 3 0 1 0 0 1 0 5 "Male" "Republican" "Party"
"175" 18 20 6 2 0 0 1 0 1 0 0 2 "Male" "Democrat" "Party"
"176" 18 17 16 17 15 0 0 1 0 1 0 5 "Male" "Republican" "Party+Ideol"
"177" 16 19 8 3 6 0 1 0 0 0 1 4 "Male" "Independent" "Party"
"178" 6 11 9 5 9 0 0 1 1 0 0 3 "Male" "Democrat" "Party+Ideol"
"179" 12 17 5 4 1 1 0 0 0 0 1 4 "Male" "Independent" "Control"
"180" 18 16 11 16 11 0 1 0 0 1 0 6 "Male" "Republican" "Party"
"181" 15 16 13 15 17 1 0 0 0 1 0 6 "Female" "Republican" "Control"
"182" 18 17 16 16 13 0 1 0 1 0 0 5 "Female" "Democrat" "Party"
"183" 17 18 9 8 11 0 0 1 1 0 0 2 "Female" "Democrat" "Party+Ideol"
"184" 15 12 9 8 12 0 0 1 1 0 0 3 "Female" "Democrat" "Party+Ideol"
"185" 14 12 6 12 17 1 0 0 0 1 0 5 "Female" "Republican" "Control"
"186" 19 14 9 8 5 0 1 0 1 0 0 2 "Female" "Democrat" "Party"
"187" 10 10 14 12 15 0 0 1 0 1 0 5 "Male" "Republican" "Party+Ideol"
"188" 17 20 5 9 7 1 0 0 0 1 0 6 "Female" "Republican" "Control"
"189" 6 11 2 12 11 0 0 1 0 0 1 6 "Female" "Independent" "Party+Ideol"
"190" 16 13 11 19 15 0 1 0 0 0 1 5 "Female" "Independent" "Party"
"191" 18 17 9 4 6 0 0 1 0 0 1 2 "Male" "Independent" "Party+Ideol"
"192" 14 11 10 11 4 1 0 0 1 0 0 2 "Female" "Democrat" "Control"
"193" 16 12 6 9 12 0 1 0 1 0 0 3 "Female" "Democrat" "Party"
"194" 9 7 5 1 2 1 0 0 0 0 0 3 "Male" NA "Control"
"195" 11 16 6 5 5 0 1 0 1 0 0 2 "Male" "Democrat" "Party"
"196" 17 18 16 16 15 1 0 0 1 0 0 3 "Female" "Democrat" "Control"
"197" 5 20 14 14 2 0 0 1 0 0 1 4 "Male" "Independent" "Party+Ideol"
"198" 15 15 6 11 14 1 0 0 1 0 0 2 "Female" "Democrat" "Control"
"199" 16 12 8 10 11 0 1 0 1 0 0 2 "Male" "Democrat" "Party"
"200" 18 16 1 1 0 0 0 1 1 0 0 1 "Female" "Democrat" "Party+Ideol"
"201" 13 19 7 11 7 0 0 1 0 0 1 5 "Male" "Independent" "Party+Ideol"
"202" 16 14 9 11 9 1 0 0 0 1 0 5 "Female" "Republican" "Control"
"203" 15 13 7 12 8 0 0 1 0 0 0 4 "Female" NA "Party+Ideol"
"204" 14 17 6 8 9 1 0 0 0 0 0 6 "Male" NA "Control"
"205" 13 13 10 15 12 1 0 0 0 1 0 6 "Female" "Republican" "Control"
"206" 11 15 5 3 3 0 1 0 1 0 0 2 "Male" "Democrat" "Party"
"207" 8 18 12 11 9 0 0 1 0 0 1 3 "Male" "Independent" "Party+Ideol"
"208" 18 16 13 8 11 0 1 0 0 0 1 3 "Female" "Independent" "Party"
"209" 11 16 7 11 6 1 0 0 0 1 0 6 "Female" "Republican" "Control"
"210" 14 20 3 4 0 0 1 0 0 0 1 2 "Female" "Independent" "Party"
"211" 12 15 7 5 1 0 0 1 1 0 0 2 "Female" "Democrat" "Party+Ideol"
"212" 13 16 14 14 14 1 0 0 0 0 0 5 "Female" NA "Control"
"213" 10 13 6 7 3 0 0 1 1 0 0 2 "Male" "Democrat" "Party+Ideol"
"214" 14 16 4 2 4 0 1 0 1 0 0 1 "Female" "Democrat" "Party"
"215" 17 18 4 2 2 0 0 1 1 0 0 1 "Female" "Democrat" "Party+Ideol"
"216" 17 15 15 13 13 0 1 0 0 1 0 6 "Female" "Republican" "Party"
"217" 12 14 7 9 6 1 0 0 1 0 0 2 "Female" "Democrat" "Control"
"218" 19 18 3 4 0 0 0 1 0 0 1 4 "Male" "Independent" "Party+Ideol"
"219" 19 13 12 16 12 1 0 0 1 0 0 3 "Female" "Democrat" "Control"
"220" 20 20 5 4 6 0 0 1 1 0 0 1 "Female" "Democrat" "Party+Ideol"
"221" 19 18 5 11 8 0 0 1 0 0 0 3 "Female" NA "Party+Ideol"
"222" 11 9 11 16 10 0 1 0 0 0 1 4 "Male" "Independent" "Party"
"223" 9 11 10 11 0 0 1 0 0 1 0 5 "Female" "Republican" "Party"
"224" 15 18 12 13 13 1 0 0 0 0 1 4 "Male" "Independent" "Control"
"225" 16 17 8 8 8 0 1 0 0 0 1 1 "Female" "Independent" "Party"
"226" 15 16 4 7 5 0 0 1 0 0 0 3 "Female" NA "Party+Ideol"
"227" 6 19 3 7 0 1 0 0 0 0 1 2 "Female" "Independent" "Control"
"228" 10 12 3 4 9 0 0 1 1 0 0 2 "Male" "Democrat" "Party+Ideol"
"229" 19 13 10 10 9 1 0 0 0 0 1 4 "Female" "Independent" "Control"
"230" 8 10 9 11 20 0 1 0 1 0 0 3 "Female" "Democrat" "Party"
"231" 14 17 3 5 0 0 1 0 0 0 1 1 "Female" "Independent" "Party"
"232" 20 19 4 2 2 0 0 1 1 0 0 2 "Female" "Democrat" "Party+Ideol"
"233" 2 9 10 13 14 1 0 0 0 1 0 6 "Male" "Republican" "Control"
"234" 10 11 11 8 7 1 0 0 0 0 1 2 "Male" "Independent" "Control"
"235" 12 13 6 3 0 0 1 0 1 0 0 2 "Male" "Democrat" "Party"
"236" 17 17 13 13 10 0 0 1 0 0 1 3 "Male" "Independent" "Party+Ideol"
"237" 19 18 18 11 17 0 1 0 1 0 0 3 "Female" "Democrat" "Party"
"238" 17 17 13 9 9 0 0 1 1 0 0 4 "Male" "Democrat" "Party+Ideol"
"239" 15 18 4 4 1 1 0 0 0 0 1 2 "Female" "Independent" "Control"
"240" 17 16 8 8 5 1 0 0 1 0 0 2 "Male" "Democrat" "Control"
"241" 16 13 3 3 2 1 0 0 0 0 1 2 "Male" "Independent" "Control"
"242" 20 20 20 10 20 0 1 0 0 1 0 4 "Female" "Republican" "Party"
"243" 18 18 13 10 8 0 0 1 0 0 1 4 "Female" "Independent" "Party+Ideol"
"244" 12 14 6 6 3 0 1 0 0 0 0 5 "Male" NA "Party"
"245" 19 20 9 3 1 0 0 1 0 0 1 2 "Female" "Independent" "Party+Ideol"
"246" 19 19 11 13 6 0 1 0 0 0 1 3 "Male" "Independent" "Party"
"247" 8 13 5 7 8 1 0 0 0 0 1 4 "Male" "Independent" "Control"
"248" 18 17 11 8 3 0 0 1 1 0 0 2 "Female" "Democrat" "Party+Ideol"
"249" 15 16 9 12 8 1 0 0 1 0 0 1 "Male" "Democrat" "Control"
"250" 16 14 2 10 0 0 1 0 0 0 1 4 "Female" "Independent" "Party"
"251" 16 14 10 13 15 0 1 0 1 0 0 2 "Female" "Democrat" "Party"
"252" 17 17 11 15 11 1 0 0 0 1 0 6 "Male" "Republican" "Control"
"253" 13 16 10 8 10 0 0 1 1 0 0 2 "Female" "Democrat" "Party+Ideol"
"254" 17 17 12 6 4 1 0 0 1 0 0 2 "Male" "Democrat" "Control"
"255" 12 11 4 5 7 0 1 0 0 0 0 2 "Female" NA "Party"
"256" 17 19 11 2 4 0 0 1 0 0 0 2 "Female" NA "Party+Ideol"
"257" 20 19 6 8 6 1 0 0 1 0 0 2 "Male" "Democrat" "Control"
"258" 18 15 18 14 13 0 1 0 0 1 0 6 "Male" "Republican" "Party"
"259" 19 19 6 14 12 0 1 0 0 0 1 4 "Male" "Independent" "Party"
"260" 13 15 6 5 2 0 0 1 1 0 0 2 "Female" "Democrat" "Party+Ideol"
"261" 14 11 4 4 0 1 0 0 0 0 1 2 "Female" "Independent" "Control"
"262" 20 18 2 3 4 0 0 1 1 0 0 2 "Male" "Democrat" "Party+Ideol"
"263" 14 12 7 9 13 1 0 0 1 0 0 4 "Female" "Democrat" "Control"
"264" 7 15 9 7 7 0 1 0 0 0 1 4 "Male" "Independent" "Party"
"265" 14 16 11 5 9 0 0 1 1 0 0 2 "Male" "Democrat" "Party+Ideol"
"266" 16 15 0 0 0 1 0 0 0 0 0 1 "Male" NA "Control"
"267" 11 17 7 14 12 0 1 0 1 0 0 4 "Male" "Democrat" "Party"
"268" 12 13 5 4 4 0 0 1 1 0 0 3 "Male" "Democrat" "Party+Ideol"
"269" 17 14 8 3 3 0 0 1 1 0 0 1 "Male" "Democrat" "Party+Ideol"
"270" 15 20 7 5 0 0 1 0 1 0 0 1 "Male" "Democrat" "Party"
"271" 20 19 13 1 5 1 0 0 0 0 1 2 "Female" "Independent" "Control"
"272" 11 12 10 10 10 0 0 1 0 0 0 4 "Female" NA "Party+Ideol"
"273" 11 15 13 13 13 0 1 0 0 1 0 6 "Female" "Republican" "Party"
"274" 12 19 6 7 0 0 0 1 0 0 1 2 "Male" "Independent" "Party+Ideol"
"275" 12 19 6 9 10 0 0 1 0 0 1 5 "Male" "Independent" "Party+Ideol"
"276" 13 15 11 7 2 1 0 0 0 0 0 2 "Male" NA "Control"
"277" 13 12 13 13 16 0 0 1 0 0 1 5 "Male" "Independent" "Party+Ideol"
"278" 13 15 5 3 1 1 0 0 0 0 1 4 "Male" "Independent" "Control"
"279" 10 15 5 9 10 0 1 0 0 0 1 3 "Female" "Independent" "Party"
"280" 18 14 11 9 11 1 0 0 0 0 1 4 "Female" "Independent" "Control"
"281" 20 11 0 0 0 0 1 0 0 0 1 2 "Female" "Independent" "Party"
"282" 13 13 5 3 2 0 1 0 0 0 1 3 "Female" "Independent" "Party"
"283" 17 20 16 10 10 1 0 0 0 0 1 5 "Male" "Independent" "Control"
"284" 16 11 7 12 15 0 1 0 0 1 0 6 "Male" "Republican" "Party"
"285" 13 10 11 2 5 0 0 1 0 0 0 2 "Male" NA "Party+Ideol"
"286" 17 17 9 9 3 1 0 0 0 0 1 4 "Male" "Independent" "Control"
"287" 17 19 11 8 10 0 0 1 1 0 0 2 "Male" "Democrat" "Party+Ideol"
"288" 16 20 8 11 8 1 0 0 0 0 1 2 "Male" "Independent" "Control"
"289" 13 17 9 6 4 0 0 1 1 0 0 2 "Female" "Democrat" "Party+Ideol"
"290" 17 16 10 8 0 1 0 0 0 1 0 4 "Female" "Republican" "Control"
"291" 20 18 14 12 12 0 1 0 0 0 1 5 "Female" "Independent" "Party"
"292" 15 18 2 13 1 0 1 0 1 0 0 3 "Female" "Democrat" "Party"
"293" 16 16 9 7 4 0 0 1 1 0 0 2 "Male" "Democrat" "Party+Ideol"
"294" 14 16 7 7 3 1 0 0 1 0 0 1 "Male" "Democrat" "Control"
"295" 13 10 7 7 7 0 1 0 1 0 0 3 "Female" "Democrat" "Party"
"296" 14 16 12 12 4 0 0 1 1 0 0 4 "Male" "Democrat" "Party+Ideol"
"297" 15 13 7 6 11 1 0 0 0 0 1 4 "Male" "Independent" "Control"
"298" 12 16 10 8 5 0 0 1 1 0 0 3 "Male" "Democrat" "Party+Ideol"
"299" 16 18 9 10 10 0 0 1 0 0 1 3 "Female" "Independent" "Party+Ideol"
"300" 13 13 12 14 15 0 1 0 0 0 1 3 "Male" "Independent" "Party"
"301" 11 16 9 8 10 0 1 0 0 0 0 2 "Male" NA "Party"
"302" 18 18 15 5 5 1 0 0 0 0 1 1 "Male" "Independent" "Control"
"303" 8 18 4 0 0 0 1 0 0 0 0 4 "Male" NA "Party"
"304" 9 18 15 7 7 1 0 0 1 0 0 3 "Male" "Democrat" "Control"
"305" 8 9 9 9 10 0 0 1 0 0 0 4 "Male" NA "Party+Ideol"
"306" 17 17 13 11 10 1 0 0 0 1 0 5 "Male" "Republican" "Control"
"307" 9 10 11 9 9 0 1 0 0 1 0 5 "Male" "Republican" "Party"
